"id","tti","cb_index","it","total_its","ext1_avg","ext2_avg","ext1_avg_abs","ext2_avg_abs","cb_size","tbs","mcs","snr","dec_time","avg_it_block","crc","filename"
21858,2294,1,2,10,-1294469,-1139374,1507657,1311718,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,3,10,-973162,-1366466,1162864,1587696,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,4,10,-1367645,-1366466,1568905,1587696,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,5,10,-974341,-1346512,1153469,1552210,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,6,10,-1321380,-1346512,1497676,1552210,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,7,10,-949209,-1301091,1108045,1479153,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,8,10,-1293399,-1301091,1485379,1479153,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21858,2294,1,9,10,-941517,-1252636,1117189,1443606,4352,12960,15,8.712755,684,10,0,"ags_data_2"
21863,2297,0,0,10,20733,-2865373,821879,2918579,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,1,10,20733,16589,821879,847561,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,2,10,14508,16589,886350,847561,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,3,10,18652,20060,843332,901868,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,4,10,18425,20060,905219,901868,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,5,10,17017,15618,835585,909428,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,6,10,11326,15618,878238,909428,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,7,10,12725,7367,808143,900519,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,8,10,8399,7367,902541,900519,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21863,2297,0,9,10,13757,8751,825375,874269,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,0,10,-908890,8751,977292,874269,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,1,10,-908890,-1308852,977292,1378642,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,2,10,-1614490,-1308852,1682804,1378642,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,3,10,-1214528,-1842816,1287706,1907546,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,4,10,-1990702,-1842816,2049884,1907546,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,5,10,-1362414,-2051576,1435694,2099608,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,6,10,-2063766,-2051576,2114208,2099608,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,7,10,-1374604,-2066337,1443606,2106465,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,8,10,-2128207,-2066337,2157075,2106465,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21864,2297,1,9,10,-1436474,-2388097,1481778,2410627,4352,12960,15,8.684958,709,10,0,"ags_data_2"
21869,2300,0,0,10,-136081,-327385,251167,845639,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,1,10,-136081,-189604,251167,391506,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,2,10,-211835,-189604,495107,391506,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,3,10,-158312,-187590,402908,545646,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,4,10,-186653,-187590,579281,545646,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,5,10,-157375,-190238,440245,584452,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,6,10,-182417,-190238,582707,584452,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,7,10,-149554,-194594,435040,593020,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,8,10,-177587,-194594,595059,593020,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21869,2300,0,9,10,-132547,-152070,439069,570018,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,0,10,-129757,-152070,254503,570018,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,1,10,-129757,-162135,254503,377265,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,2,10,-173200,-162135,476066,377265,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,3,10,-140822,-169064,395826,540542,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,4,10,-170408,-169064,570596,540542,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,5,10,-142166,-152195,433736,575877,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,6,10,-147607,-152195,560309,575877,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,7,10,-137578,-163714,424666,585136,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,8,10,-155026,-163714,579828,585136,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21870,2300,1,9,10,-128890,-147156,437448,559338,4352,12960,15,8.528163,723,10,0,"ags_data_2"
21881,2308,0,0,10,-816055,-2035,914359,491115,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,1,10,-816055,-1115177,914359,1209139,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,2,10,-1285697,-1115177,1390297,1209139,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,3,10,-986575,-1411106,1085943,1498264,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,4,10,-1495040,-1411106,1580604,1498264,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,5,10,-1070509,-1590920,1168511,1690048,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,6,10,-1737405,-1590920,1841265,1690048,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,7,10,-1216994,-1837360,1328296,1930038,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,8,10,-1910067,-1837360,1993005,1930038,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21881,2308,0,9,10,-1289701,-2070006,1384485,2157250,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,0,10,-840236,-2070006,913622,2157250,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,1,10,-840236,-1163212,913622,1229868,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,2,10,-1393999,-1163212,1466873,1229868,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,3,10,-1071023,-1584330,1147945,1649818,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,4,10,-1701144,-1584330,1757960,1649818,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,5,10,-1187837,-1759984,1260097,1819674,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,6,10,-1826100,-1759984,1890988,1819674,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,7,10,-1253953,-2010443,1326719,2073049,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,8,10,-2247064,-2010443,2294310,2073049,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21882,2308,1,9,10,-1490574,-2431567,1552496,2473209,4352,12960,15,8.463437,681,10,0,"ags_data_2"
21895,2316,0,0,10,-456676,-1303707,541056,1508403,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,1,10,-456676,-609563,541056,768357,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,2,10,-645763,-609563,833919,768357,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,3,10,-492876,-621541,676600,858379,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,4,10,-600796,-621541,824236,858379,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,5,10,-472131,-568514,664527,810878,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,6,10,-560949,-568514,803739,810878,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,7,10,-464566,-534808,655266,771812,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,8,10,-500156,-534808,739168,771812,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21895,2316,0,9,10,-429914,-510639,617754,745803,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,0,10,-458870,-510639,539958,745803,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,1,10,-458870,-609119,539958,748433,4352,12960,15,8.499906,696,10,0,"ags_data_2"
